player_name,team,country,maps_played,rounds_played,total_kills,total_deaths,total_assists,headshot_percentage,kills_per_round,deaths_per_round,assists_per_round,damage_per_round,rating,opening_kills,opening_deaths,clutch_wins,kdr,impact_score,survival_rate,assist_contribution,opening_duel_win_rate,consistency_score,performance_index,performance_encoded,performance_category
trell1,Astralis,Argentina,300,6900,3400.0,5125,879,43.9,0.49,0.74,0.13,57.7,0.93,36,52,7,0.6634,0.3219,0.2572,0.2097,0.4091,0.7422,0.2394,0,Low
Blarkix,MIBR,Netherlands,274,7124,5795.0,4449,739,62.0,0.81,0.62,0.1,91.5,1.1,30,29,13,1.3025,0.4985,0.3755,0.1099,0.5085,0.6417,0.6697,2,High
noltus,MOUZ,Netherlands,221,5525,3197.0,4074,612,47.5,0.58,0.74,0.11,62.4,0.75,21,34,7,0.7847,0.3533,0.2626,0.1594,0.3818,0.2118,0.2043,0,Low
drace9,TheMongolz,Argentina,173,3979,2749.0,2620,516,43.1,0.69,0.66,0.13,68.5,1.02,8,11,7,1.0492,0.3956,0.3415,0.1585,0.4211,0.9227,0.4051,1,Medium
Tryreo,Vitality,Turkey,129,3225,2140.0,2081,447,40.3,0.66,0.65,0.14,79.3,0.94,18,21,6,1.0284,0.4335,0.3547,0.175,0.4615,0.7769,0.3702,1,Medium
Drisk7,Spirit,Kazakhstan,377,8671,5951.0,6050,751,40.4,0.69,0.7,0.09,59.4,0.78,57,63,12,0.9836,0.3984,0.3023,0.1154,0.475,0.2893,0.2499,0,Low
zion5s,Virtus.pro,Australia,116,3016,1953.0,1748,530,55.2,0.65,0.58,0.18,67.1,0.98,10,13,9,1.1173,0.4044,0.4204,0.2169,0.4348,0.9227,0.4667,2,High
Magisk,Virtus.pro,Argentina,197,5319,3712.0,3696,819,41.4,0.7,0.7,0.15,74.8,1.01,35,30,6,1.0043,0.4386,0.3051,0.1765,0.5385,0.961,0.414,1,Medium
skulfx,Monte,Latvia,230,5520,5007.0,3001,372,50.8,0.905,0.54,0.07,82.5,1.25,33,11,27,1.6684,0.536,0.4563,0.0718,0.75,0.2118,0.7824,2,High
kiono,MOUZ,Russia,290,7250,5023.0,4752,766,35.2,0.69,0.66,0.11,64.3,0.82,32,26,10,1.057,0.4024,0.3446,0.1375,0.5517,0.3988,0.2595,0,Low
zopso,Monte,Poland,318,8904,7359.0,5117,810,62.7,0.83,0.57,0.09,92.7,1.34,35,37,18,1.4381,0.5134,0.4253,0.0978,0.4861,0.0,0.8392,2,High
Xlexzy,Imperial,China,210,5040,2790.0,3790,484,45.0,0.55,0.75,0.1,62.9,0.86,25,21,1,0.7361,0.3463,0.248,0.1538,0.5435,0.516,0.2375,0,Low
skinky,Monte,Finland,325,8125,4688.0,5412,1496,43.2,0.58,0.67,0.18,75.4,1.0,20,27,19,0.8662,0.382,0.3339,0.2368,0.4255,1.0,0.353,1,Medium
Dumeie,TYLOO,Poland,270,6750,4270.0,4528,890,44.7,0.63,0.67,0.13,73.6,1.03,30,22,18,0.943,0.407,0.3292,0.1711,0.5769,0.8852,0.409,1,Medium
Stunoo,Vitality,Mongolia,454,9988,7282.0,5567,743,61.2,0.73,0.56,0.07,98.1,1.23,60,32,42,1.3081,0.5061,0.4426,0.0875,0.6522,0.263,0.743,2,High
Swongix,ENCE,Turkey,292,7008,6355.0,3504,405,50.9,0.905,0.5,0.06,85.0,1.17,38,26,27,1.8136,0.5379,0.5,0.0622,0.5938,0.4274,0.7658,2,High
propsix,SAW,Turkey,449,11225,7507.0,6980,2010,52.2,0.67,0.62,0.2,69.1,0.97,22,35,28,1.0755,0.3988,0.3782,0.2299,0.386,0.8852,0.4337,1,Medium
Nolt4k,Fnatic,China,329,9212,7452.0,5147,905,51.5,0.81,0.56,0.1,71.3,1.18,48,20,33,1.4478,0.4811,0.4413,0.1099,0.7059,0.3988,0.6695,2,High
drlexus,BIG,United States,367,8074,5173.0,5242,1032,40.0,0.64,0.65,0.13,67.0,0.85,28,61,10,0.9868,0.3842,0.3508,0.1688,0.3146,0.4859,0.2763,0,Low
zinkie,Lynn Vision,Australia,173,4325,2446.0,2769,660,54.7,0.57,0.64,0.15,66.1,0.88,21,38,9,0.8834,0.3774,0.3598,0.2083,0.3559,0.5777,0.349,1,Medium
dinker,Virtus.pro,Germany,376,10152,6261.0,6373,1659,34.3,0.62,0.63,0.16,63.5,0.99,26,36,23,0.9824,0.3765,0.3722,0.2051,0.4194,0.961,0.3157,1,Medium
Glarnoo,ENCE,Czech Republic,178,4450,2900.0,3240,526,36.6,0.65,0.73,0.12,60.5,0.81,15,25,5,0.8951,0.3683,0.2719,0.1558,0.375,0.3707,0.2085,0,Low
drvener,Spirit,Estonia,325,7800,4455.0,5171,1296,45.1,0.57,0.66,0.17,72.1,0.89,29,45,1,0.8615,0.372,0.3371,0.2297,0.3919,0.6094,0.2949,0,Low
tradez,TheMongolz,Czech Republic,205,4715,2996.0,2915,855,41.5,0.64,0.62,0.18,86.1,1.1,24,12,14,1.0278,0.4417,0.3818,0.2195,0.6667,0.6417,0.4701,2,High
Snodoie,Lynn Vision,Brazil,272,5712,3274.0,4294,506,41.2,0.57,0.75,0.09,61.2,0.89,13,44,11,0.7625,0.3364,0.2482,0.1364,0.2281,0.6094,0.2308,0,Low
snlex0,FaZe,Sweden,155,3875,3462.0,2033,319,60.7,0.89,0.52,0.08,94.5,1.19,16,12,8,1.7029,0.5375,0.4754,0.0825,0.5714,0.3707,0.81,2,High
skantix,SAW,Kazakhstan,448,10304,5484.0,6649,1960,41.5,0.53,0.65,0.19,69.9,1.02,13,49,23,0.8248,0.3488,0.3547,0.2639,0.2097,0.9227,0.3234,1,Medium
nongix,BIG,United States,419,10475,6981.0,7371,1972,45.5,0.67,0.7,0.19,75.6,0.89,33,40,32,0.9471,0.4133,0.2963,0.2209,0.4521,0.6094,0.3421,1,Medium
Blulf5s,GamerLegion,Kazakhstan,400,8000,4740.0,4839,1255,48.6,0.59,0.6,0.16,65.0,1.07,33,44,16,0.9795,0.3736,0.3951,0.2133,0.4286,0.7422,0.434,1,Medium
Xost9,G2,Netherlands,277,6925,5527.0,3700,832,54.1,0.8,0.53,0.12,89.6,1.21,38,24,25,1.4938,0.514,0.4657,0.1304,0.6129,0.316,0.7319,2,High
stunoix,BIG,Ukraine,359,8616,5321.0,5527,942,45.2,0.62,0.64,0.11,74.9,1.03,30,39,29,0.9627,0.4048,0.3585,0.1507,0.4348,0.8852,0.4135,1,Medium
dradey,FURIA,Brazil,158,4266,2278.0,2984,752,49.8,0.53,0.7,0.18,74.5,0.94,11,17,6,0.7634,0.3611,0.3005,0.2535,0.3929,0.7769,0.3226,1,Medium
Crushi,Vitality,Brazil,367,8074,5014.0,5210,1368,43.7,0.62,0.65,0.17,67.8,0.96,25,35,20,0.9624,0.3818,0.3547,0.2152,0.4167,0.8484,0.3504,1,Medium
Brulfo,ENCE,Mongolia,348,7656,5548.0,4835,1075,40.8,0.72,0.63,0.14,61.8,1.05,19,38,18,1.1475,0.398,0.3685,0.1628,0.3333,0.8123,0.428,1,Medium
Kion7,Apeks,Germany,435,11310,6619.0,7646,1859,42.0,0.59,0.68,0.16,72.3,0.95,36,32,19,0.8657,0.3808,0.324,0.2133,0.5294,0.8123,0.3182,1,Medium
