player_name,team,country,maps_played,rounds_played,total_kills,total_deaths,total_assists,headshot_percentage,kills_per_round,deaths_per_round,assists_per_round,damage_per_round,rating,opening_kills,opening_deaths,clutch_wins
trell1,Astralis,Argentina,300,6900,3400,5125,879,43.9,0.49,0.74,0.13,57.7,0.93,36,52,7
Blarkix,MIBR,Netherlands,274,7124,5795,4449,739,62.0,0.81,0.62,0.1,91.5,1.1,30,29,13
noltus,MOUZ,Netherlands,221,5525,3197,4074,612,47.5,0.58,0.74,0.11,62.4,0.75,21,34,7
drace9,TheMongolz,Argentina,173,3979,2749,2620,516,43.1,0.69,0.66,0.13,68.5,1.02,8,11,7
Tryreo,Vitality,Turkey,129,3225,2140,2081,447,40.3,0.66,0.65,0.14,79.3,0.94,18,21,6
Drisk7,Spirit,Kazakhstan,377,8671,5951,6050,751,40.4,0.69,0.7,0.09,59.4,0.78,57,63,12
zion5s,Virtus.pro,Australia,116,3016,1953,1748,530,55.2,0.65,0.58,0.18,67.1,0.98,10,13,9
Magisk,Virtus.pro,Argentina,197,5319,3712,3696,819,41.4,0.7,0.7,0.15,74.8,1.01,35,30,6
skulfx,Monte,Latvia,230,5520,5007,3001,372,50.8,0.91,0.54,0.07,82.5,1.25,33,11,27
kiono,MOUZ,Russia,290,7250,5023,4752,766,35.2,0.69,0.66,0.11,64.3,0.82,32,26,10
zopso,Monte,Poland,318,8904,7359,5117,810,62.7,0.83,0.57,0.09,92.7,1.38,35,37,18
Xlexzy,Imperial,China,210,5040,2790,3790,484,45.0,0.55,0.75,0.1,62.9,0.86,25,21,1
skinky,Monte,Finland,325,8125,4688,5412,1496,43.2,0.58,0.67,0.18,75.4,1.0,20,27,19
Dumeie,TYLOO,Poland,270,6750,4270,4528,890,44.7,0.63,0.67,0.13,73.6,1.03,30,22,18
Stunoo,Vitality,Mongolia,454,9988,7282,5567,743,61.2,0.73,0.56,0.07,103.9,1.23,60,32,59
Swongix,ENCE,Turkey,292,7008,6355,3504,405,50.9,0.91,0.5,0.06,85.0,1.17,38,26,27
propsix,SAW,Turkey,449,11225,7507,6980,2240,52.2,0.67,0.62,0.2,69.1,0.97,22,35,28
Nolt4k,Fnatic,China,329,9212,7452,5147,905,51.5,0.81,0.56,0.1,71.3,1.18,48,20,33
drlexus,BIG,United States,367,8074,5173,5242,1032,40.0,0.64,0.65,0.13,67.0,0.85,28,61,10
zinkie,Lynn Vision,Australia,173,4325,2446,2769,660,54.7,0.57,0.64,0.15,66.1,0.88,21,38,9
dinker,Virtus.pro,Germany,376,10152,6261,6373,1659,34.3,0.62,0.63,0.16,63.5,0.99,26,36,23
